path_idx,path_hops,relation_seq,weight_mean,weight_std,weight_min,weight_max
20,2,drug_protein | protein_protein,0.015449887452026209,0.0009576147246846879,0.014353719539940357,0.01612382009625435
20,2,indication | contraindication,0.026340575888752937,,0.026340575888752937,0.026340575888752937
21,1,contraindication,0.01882130712366257,0.011353490215122317,0.007285929284989834,0.07099896669387817
21,1,drug_drug,0.014854989858577028,0.001229127681230007,0.011579054407775402,0.016990268602967262
21,1,off-label use,0.017227593809366226,,0.017227593809366226,0.017227593809366226
21,2,contraindication | contraindication,0.014395383186638355,0.0014159740368834173,0.012951844371855259,0.015782080590724945
21,2,drug_drug | drug_drug,0.015501366772999367,0.0003759241437465144,0.014901640824973583,0.015880398452281952
21,2,drug_protein | disease_protein,0.017254702374339105,0.004686828627822262,0.010257607325911522,0.021893298253417015
21,2,drug_protein | drug_protein,0.013445453252643347,0.0025707634885346812,0.011627648957073689,0.015263257548213005
21,2,drug_protein | protein_protein,0.015348529443144798,0.0007019870872920475,0.014784003607928753,0.01613454706966877
21,2,indication | contraindication,0.02502027526497841,,0.02502027526497841,0.02502027526497841
22,1,contraindication,0.017561698533795977,0.008806839386895051,0.004611588083207607,0.04794841632246971
22,1,drug_drug,0.014817445452969808,0.0013033751949999381,0.01121725607663393,0.017361829057335854
22,1,off-label use,0.010035322979092598,,0.010035322979092598,0.010035322979092598
22,2,contraindication | contraindication,0.014461851678788662,0.0019637586471119425,0.01240705605596304,0.01631973683834076
22,2,drug_drug | drug_drug,0.01558895812680324,0.0002809279011553348,0.015187394805252552,0.016016103327274323
22,2,drug_protein | disease_protein,0.014648348651826381,0.003631799175749515,0.009881088510155678,0.02011284977197647
22,2,drug_protein | drug_protein,0.013441711198538542,0.002614543527425372,0.011592949740588665,0.015290472656488419
22,2,drug_protein | protein_protein,0.017864679917693138,0.005856546405055465,0.012583408504724503,0.024163220077753067
22,2,indication | contraindication,0.024997232481837273,,0.024997232481837273,0.024997232481837273
23,1,contraindication,0.018688373474611178,0.01311545948074165,0.008740250021219254,0.07195272296667099
23,1,drug_drug,0.014864274663210825,0.0013933640898280374,0.0099843954667449,0.017721690237522125
23,1,off-label use,0.013166341930627823,,0.013166341930627823,0.013166341930627823
23,2,contraindication | contraindication,0.014208748626212278,0.0020312103835601236,0.011948051862418652,0.01588016375899315
23,2,drug_drug | drug_drug,0.015222379006445408,7.102699450807513e-05,0.01513703167438507,0.015296674333512783
23,2,drug_protein | disease_protein,0.015798513032495975,0.0046120803137658225,0.010052940808236599,0.02287979982793331
23,2,drug_protein | drug_protein,0.013623674865812063,0.0023163427204096533,0.011985773220658302,0.015261576510965824
23,2,drug_protein | protein_protein,0.01521670880417029,0.001960203662790417,0.014050967991352081,0.01747981272637844
23,2,indication | contraindication,0.02616257220506668,,0.02616257220506668,0.02616257220506668
24,1,contraindication,0.016993498895317316,0.006778112278324203,0.0046907211653888226,0.03957268223166466
24,1,drug_drug,0.014786670944004349,0.0013441569350171002,0.010079742409288883,0.017431093379855156
24,1,off-label use,0.015486078336834908,,0.015486078336834908,0.015486078336834908
24,2,contraindication | contraindication,0.01474101593097051,0.0023829715795739125,0.012292491272091866,0.01705252192914486
24,2,drug_drug | drug_drug,0.015531060441086689,0.00032150037323433115,0.015105613507330418,0.01605960540473461
24,2,drug_protein | disease_protein,0.014898708555847406,0.0012350463956779952,0.013056835159659386,0.01568131148815155
24,2,drug_protein | drug_protein,0.015118201884130636,0.0034463961419387876,0.011578737758100033,0.01846330426633358
24,2,drug_protein | protein_protein,0.01736272561053435,0.005838367259285169,0.0123719722032547,0.02378312684595585
24,2,indication | contraindication,0.025076190009713173,,0.025076190009713173,0.025076190009713173
25,1,contraindication,0.015617921948432922,0.004197139877933817,0.008234037086367607,0.02540963888168335
25,1,drug_drug,0.014749723990776934,0.0013557162180177773,0.010720833204686642,0.017312193289399147
25,1,indication,0.04244057834148407,,0.04244057834148407,0.04244057834148407
25,2,contraindication | contraindication,0.014652641722932458,0.0012383129777718317,0.012967556715011597,0.01591641455888748
25,2,drug_drug | drug_drug,0.01547674477721254,0.00030645027308512916,0.01502292975783348,0.015864919871091843
25,2,drug_protein | disease_protein,0.01646811484048764,0.0029899851571670525,0.014612221159040928,0.01991732232272625
25,2,drug_protein | drug_protein,0.0151153231660525,0.003441021562641227,0.011586965061724186,0.018461793661117554
25,2,drug_protein | protein_protein,0.017677429132163525,0.005290314837654781,0.012361383996903896,0.022810108959674835
25,2,indication | contraindication,0.0251686479896307,,0.0251686479896307,0.0251686479896307
26,1,contraindication,0.021979158220347017,0.015368675704693687,0.0057603418827056885,0.0638408437371254
26,1,drug_drug,0.014600452910968684,0.0014330914937313827,0.009784908033907413,0.017040539532899857
26,1,drug_protein,0.10409116744995117,,0.10409116744995117,0.10409116744995117
26,2,contraindication | contraindication,0.014737851731479169,0.0012367837855941442,0.012956308200955391,0.01634182035923004
26,2,drug_drug | drug_drug,0.01555964257568121,0.00035705821959820854,0.014892762526869774,0.015921592712402344
26,2,drug_protein | disease_protein,0.015543532557785511,0.0007298215494021826,0.015079658478498459,0.016384776681661606
26,2,drug_protein | drug_protein,0.015243488363921642,0.0032581491067587786,0.01197325810790062,0.018489420413970947
26,2,drug_protein | protein_protein,0.017295402707532048,0.004718853500386068,0.01386348158121109,0.024252040311694145
26,2,indication | contraindication,0.024476444348692894,,0.024476444348692894,0.024476444348692894
27,1,contraindication,0.019074624118905877,0.008827964320261974,0.0059430706314742565,0.044864121824502945
27,1,drug_drug,0.014619658325812709,0.001478116326831645,0.009611353278160095,0.01697845384478569
27,1,indication,0.018351491540670395,,0.018351491540670395,0.018351491540670395
27,2,contraindication | contraindication,0.014729184471070767,0.0015811400945272762,0.0123677346855402,0.016810636967420578
27,2,drug_drug | drug_drug,0.015268698489914337,0.0005526583752415907,0.01463135052472353,0.016026102006435394
27,2,drug_protein | disease_protein,0.015173009596765041,0.0016000134906510991,0.013332880102097988,0.0162362027913332
27,2,drug_protein | drug_protein,0.016880633309483528,0.002255380596761185,0.015285838395357132,0.018475428223609924
27,2,drug_protein | protein_protein,0.017870314233005048,0.0036121124957690185,0.015096387825906277,0.023812776431441307
27,2,indication | contraindication,0.025797545909881592,,0.025797545909881592,0.025797545909881592
28,1,contraindication,0.016477667822920043,0.007498602355047945,0.005859185941517353,0.03479798883199692
28,1,drug_drug,0.014532267743790591,0.0014981770433570847,0.01039305329322815,0.017297707498073578
28,1,drug_protein,0.02263486012816429,,0.02263486012816429,0.02263486012816429
28,2,contraindication | contraindication,0.014537064731121064,0.0015691934437490765,0.012102225795388222,0.01645820401608944
28,2,drug_drug | drug_drug,0.01529436239174434,0.0006510312985857653,0.013829236850142479,0.015638692304491997
28,2,drug_protein | disease_protein,0.014720624312758446,0.0006771896367428194,0.014019986614584923,0.015371635556221008
28,2,drug_protein | drug_protein,0.01529861893504858,,0.01529861893504858,0.01529861893504858
28,2,drug_protein | protein_protein,0.016374908077220123,0.0034072652753437127,0.011447224766016006,0.02188855968415737
28,2,indication | contraindication,0.024649126455187798,,0.024649126455187798,0.024649126455187798
29,1,contraindication,0.020104243323720735,0.01094890000428721,0.007787841372191906,0.06838925182819366
29,1,drug_drug,0.014553820638468972,0.001643402050781224,0.009584197774529457,0.01750870794057846
29,1,drug_protein,0.023542074486613274,,0.023542074486613274,0.023542074486613274
29,2,contraindication | contraindication,0.01461100522428751,0.0014857818150552991,0.012314162217080593,0.016458790749311447
29,2,drug_drug | drug_drug,0.015126481120075499,0.0005728942621655276,0.013885678723454475,0.015508787706494331
29,2,drug_protein | disease_protein,0.015847052757938702,0.0019418581642411238,0.014434901997447014,0.018061500042676926
29,2,drug_protein | drug_protein,0.015293257310986519,,0.015293257310986519,0.015293257310986519
29,2,drug_protein | protein_protein,0.02133927009999752,0.005329883881068103,0.014485124498605728,0.02858928218483925
29,2,indication | contraindication,0.01746766408905387,0.012365351273500335,0.008724040351808071,0.026211287826299667
30,1,contraindication,0.01667055720463395,0.003982305424400733,0.011758080683648586,0.029174642637372017
30,1,drug_drug,0.01442084651854303,0.001496943672168192,0.009620246477425098,0.016830967739224434
30,1,drug_protein,0.01954482216387987,0.001482653690717374,0.018496427685022354,0.02059321664273739
30,2,contraindication | contraindication,0.014885749109089375,0.0015568568472873808,0.012955144979059696,0.01730671338737011
30,2,drug_drug | drug_drug,0.015342854229467255,0.0007947492154023464,0.013710138387978077,0.016092490404844284
30,2,drug_protein | disease_protein,0.016286850596467655,0.0015370720802227549,0.014551110565662384,0.01747564971446991
30,2,drug_protein | drug_protein,0.015280175022780895,,0.015280175022780895,0.015280175022780895
30,2,drug_protein | protein_protein,0.017388894595205782,0.004980492110147968,0.011924686841666698,0.024889925494790077
30,2,indication | contraindication,0.01724698208272457,0.012031268351878162,0.008739590644836426,0.025754373520612717
31,1,contraindication,0.015915221224228542,0.004476102085353962,0.011237016879022121,0.03010011650621891
31,1,drug_drug,0.014520284934170383,0.0017308161183457677,0.009593062102794647,0.017133153975009918
31,1,drug_protein,0.030888943932950497,0.012815303784213052,0.021827155724167824,0.03995073214173317
31,2,contraindication | contraindication,0.014681301452219487,0.001189582776151006,0.012856446206569672,0.015907444059848785
31,2,drug_drug | drug_drug,0.01531020738184452,0.0007819074118690873,0.013605385087430477,0.015824977308511734
31,2,drug_protein | disease_protein,0.020569261784354847,0.010720010525270529,0.01381027139723301,0.03292960673570633
31,2,drug_protein | drug_protein,0.015293964184820652,,0.015293964184820652,0.015293964184820652
31,2,drug_protein | protein_protein,0.01932712011039257,0.004139693985022502,0.01595204882323742,0.024561988189816475
